Edition,Rank,Artist,Song,songid,Released
2004,114,The Crystals,Da Doo Ron Ron,Da Doo Ron RonThe Crystals,1992
2004,115,Sam Cooke,You Send Me,You Send MeSam Cooke,1957
2004,116,The Rolling Stones,Honky Tonk Woman,Honky Tonk WomanThe Rolling Stones,1969
2004,117,Al Green,Take Me to the River,Take Me to the RiverAl Green,1974
2004,118,The Isley Brothers,Shout,ShoutThe Isley Brothers,1960
2004,119,Fleetwood Mac,Go Your Own Way,Go Your Own WayFleetwood Mac,1977
2004,120,The Jackson 5,I Want You Back,I Want You BackThe Jackson 5,1969
2004,121,Ben E. King,Stand by Me,Stand by MeBen E. King,1961
2004,122,The Animals,House of the Rising Sun,House of the Rising SunThe Animals,1964
2004,123,James Brown,It's a Man's Man's Man's World,It's a Man's Man's Man's WorldJames Brown,1991
2004,124,The Rolling Stones,Jumpin' Jack Flash,Jumpin' Jack FlashThe Rolling Stones,1968
2004,125,The Shirelles,Will You Love Me Tomorrow,Will You Love Me TomorrowThe Shirelles,1961
2004,126,Big Joe Turner,"Shake, Rattle & Roll","Shake, Rattle & RollBig Joe Turner",1954
2004,127,David Bowie,Changes,ChangesDavid Bowie,1972
2004,128,Chuck Berry,Rock & Roll Music,Rock & Roll MusicChuck Berry,1957
2004,129,Steppenwolf,Born to Be Wild,Born to Be WildSteppenwolf,1968
2004,130,Rod Stewart,Maggie May,Maggie MayRod Stewart,1971
2004,131,U2,With or Without You,With or Without YouU2,1987
2004,132,Bo Diddley,Who Do You Love?,Who Do You Love?Bo Diddley,1957
2004,133,The Who,Won't Get Fooled Again,Won't Get Fooled AgainThe Who,1971
2004,134,Wilson Pickett,In the Midnight Hour,In the Midnight HourWilson Pickett,1965
2004,135,The Beatles,While My Guitar Gently Weeps,While My Guitar Gently WeepsThe Beatles,1969
2004,136,Elton John,Your Song,Your SongElton John,1970
2004,137,The Beatles,Eleanor Rigby,Eleanor RigbyThe Beatles,1966
2004,138,Sly & The Family Stone,Family Affair,Family AffairSly & The Family Stone,1971
2004,139,The Beatles,I Saw Her Standing There,I Saw Her Standing ThereThe Beatles,1963
2004,140,Led Zeppelin,Kashmir,KashmirLed Zeppelin,1990
2004,141,Everly Brothers,All I Have to Do Is Dream,All I Have to Do Is DreamEverly Brothers,1958
2004,142,James Brown,"Please, Please, Please","Please, Please, PleaseJames Brown",1991
2004,143,Prince,Purple Rain,Purple RainPrince,1984
2004,144,Ramones,I Wanna Be Sedated,I Wanna Be SedatedRamones,1980
2004,145,Sly & The Family Stone,Everyday People,Everyday PeopleSly & The Family Stone,1969
2004,146,The B-52's,Rock Lobster,Rock LobsterThe B-52's,1979
2004,147,Iggy Pop,Lust for Life,Lust for LifeIggy Pop,1977
2004,148,Janis Joplin,Me And Bobby McGee,Me And Bobby McGeeJanis Joplin,1973
2004,149,Everly Brothers,Cathy's Clown,Cathy's ClownEverly Brothers,1960
2004,150,The Byrds,Eight Miles High,Eight Miles HighThe Byrds,1966
2004,151,The Penguins,Earth Angel,Earth AngelThe Penguins,1955
2004,152,Jimi Hendrix,Foxey Lady,Foxey LadyJimi Hendrix,1968
2004,153,The Beatles,A Hard Day's Night,A Hard Day's NightThe Beatles,1966
2004,154,Buddy Holly,Rave On,Rave OnBuddy Holly,1958
2004,155,Creedence Clearwater Revival,Proud Mary,Proud MaryCreedence Clearwater Revival,1968
2004,156,Simon & Garfunkel,The Sounds of Silence,The Sounds of SilenceSimon & Garfunkel,1965
2004,157,The Flamingos,I Only Have Eyes for You,I Only Have Eyes for YouThe Flamingos,1959
2004,158,Bill Haley and His Comets,(We're Gonna) Rock Around the Clock,(We're Gonna) Rock Around the ClockBill Haley and His Comets,1955
2004,159,The Velvet Underground,I'm Waiting for the Man,I'm Waiting for the ManThe Velvet Underground,2005
2004,160,Public Enemy,Bring the Noise,Bring the NoisePublic Enemy,2005
2004,161,Ray Charles,I Can't Stop Loving You,I Can't Stop Loving YouRay Charles,1962
2004,162,Sinead O'Connor,Nothing Compares 2 U,Nothing Compares 2 USinead O'Connor,1990
2004,163,Queen,Bohemian Rhapsody,Bohemian RhapsodyQueen,1976
2004,164,Johnny Cash,Folsom Prison Blues,Folsom Prison BluesJohnny Cash,1956
2004,165,Tracy Chapman,Fast Car,Fast CarTracy Chapman,1988
2004,166,Eminem,Lose Yourself,Lose YourselfEminem,2005
2004,167,Marvin Gaye,Let's Get It On,Let's Get It OnMarvin Gaye,1973
2004,168,The Temptations,Papa Was a Rollin' Stone,Papa Was a Rollin' StoneThe Temptations,1972
2004,169,R.E.M.,Losing My Religion,Losing My ReligionR.E.M.,1991
2004,170,Joni Mitchell,Both Sides Now,Both Sides NowJoni Mitchell,1969
2004,171,ABBA,Dancing Queen,Dancing QueenABBA,1977
2004,172,Aerosmith,Dream On,Dream OnAerosmith,1976
2004,173,The Sex Pistols,God Save the Queen,God Save the QueenThe Sex Pistols,1977
2004,174,The Rolling Stones,Paint it Black,Paint it BlackThe Rolling Stones,1966
2004,175,The Bobby Fuller Four,I Fought the Law,I Fought the LawThe Bobby Fuller Four,1966
2004,176,The Beach Boys,Don't Worry Baby,Don't Worry BabyThe Beach Boys,1964
2004,177,Tom Petty,Free Fallin',Free Fallin'Tom Petty,1989
2004,178,Big Star,September Gurls,September GurlsBig Star,1978
2004,179,Joy Division,Love Will Tear Us Apart,Love Will Tear Us ApartJoy Division,1980
2004,180,Outkast,Hey Ya! [Radio Mix],Hey Ya! [Radio Mix]Outkast,2003
2004,181,Booker T & The MG's,Green Onions,Green OnionsBooker T & The MG's,1962
2004,182,The Drifters,Save the Last Dance for Me,Save the Last Dance for MeThe Drifters,1960
2004,183,B.B. King,The Thrill is Gone,The Thrill is GoneB.B. King,1998
2004,184,The Beatles,Please Please Me,Please Please MeThe Beatles,1966
2004,185,Bob Dylan,Desolation Row,Desolation RowBob Dylan,1965
2004,186,Aretha Franklin,I Never Loved a Man (the Way I Love You),I Never Loved a Man (the Way I Love You)Aretha Franklin,2002
2004,187,AC/DC,Back in Black,Back in BlackAC/DC,1981
2004,188,Creedence Clearwater Revival,Who'll Stop the Rain,Who'll Stop the RainCreedence Clearwater Revival,1970
2004,189,Bee Gees,Stayin' Alive,Stayin' AliveBee Gees,1977
2004,190,Bob Dylan,Knockin' on Heaven's Door,Knockin' on Heaven's DoorBob Dylan,1973
2004,191,Lynyrd Skynyrd,Free Bird,Free BirdLynyrd Skynyrd,1975
2004,192,Glen Campbell,Wichita Lineman,Wichita LinemanGlen Campbell,1968
2004,193,The Drifters,There Goes My Baby,There Goes My BabyThe Drifters,1959
2004,194,Buddy Holly,Peggy Sue,Peggy SueBuddy Holly,1957
2004,195,The Chantels,Maybe,MaybeThe Chantels,1958
2004,196,Guns N' Roses,Sweet Child O' Mine,Sweet Child O' MineGuns N' Roses,1988
2004,197,Elvis Presley,Don't Be Cruel,Don't Be CruelElvis Presley,1956
2004,198,Jimi Hendrix,Hey Joe,Hey JoeJimi Hendrix,1968
2004,199,Parliament,Flash Light,Flash LightParliament,1978
2004,200,Beck,Loser,LoserBeck,1994
2004,201,New Order,Bizarre Love Triangle,Bizarre Love TriangleNew Order,1987
2004,202,The Beatles,Come Together,Come TogetherThe Beatles,1969
2004,203,Bob Dylan,Positively 4th Street,Positively 4th StreetBob Dylan,2000
2004,204,Otis Redding,Try a Little Tenderness,Try a Little TendernessOtis Redding,1967
2004,205,Bill Withers,Lean on Me,Lean on MeBill Withers,1972
2004,206,Four Tops,Reach Out (I'll Be There),Reach Out (I'll Be There)Four Tops,1966
2004,207,Everly Brothers,Bye Bye Love,Bye Bye LoveEverly Brothers,1957
2004,208,Van Morrison,Gloria,GloriaVan Morrison,1965
2004,209,The Beach Boys,In My Room,In My RoomThe Beach Boys,1963
2004,210,? & The Mysterians,96 Tears,96 Tears? & The Mysterians,1997
2004,211,The Beach Boys,"Caroline, No","Caroline, NoThe Beach Boys",1966
2004,212,Prince,1999,1999Prince,1983
2004,213,Hank Williams,Your Cheatin' Heart,Your Cheatin' HeartHank Williams,1953
2004,214,Neil Young,Rockin' in the Free World,Rockin' in the Free WorldNeil Young,2004
2004,215,The Chords,Sh-Boom,Sh-BoomThe Chords,1985
