,id,title,all_artists,popularity,release_date,explicit,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
888,31b6H6nChYUmNbW1yZQHYs,You Are My Sunshine (with Chris Stapleton),Southern Family,52,2016-02-19,False,0.416,0.418,2,-8.886,1,0.0633,0.000254,0.0898,0.285,111.601,373267,3
889,4IBwgoDpNG2p7EouVtFw0E,Venice Venture,Big Wild,54,2014-07-15,False,0.744,0.756,9,-7.72,1,0.0954,0.698,0.893,0.364,160.981,220865,4
890,0RnQOahu0Mrf05MX1n2YmW,Want You,The Wans,11,2012-07-26,False,0.249,0.86,7,-5.069,0,0.000162,0.0668,0.205,0.485,129.018,268547,4
891,0SuLAslEMFZAXf0SwY7syi,All Time Low,Jon Bellion,69,2016-06-10,True,0.617,0.567,0,-4.188,1,0.0584,0.0,0.0933,0.505,90.246,217603,4
892,1pKeFVVUOPjFsOABub0OaV,Side To Side,Nicki Minaj,3,2016-05-20,True,0.65,0.736,6,-5.84,0,0.0528,0.0,0.235,0.613,159.173,226160,4
893,7l94dyN2hX9c6wWcZQuOGJ,Dangerous Woman,Ariana Grande,4,2016-05-20,False,0.664,0.602,4,-5.369,0,0.0529,0.0,0.356,0.289,134.049,235947,3
894,4NE3oWyUQI2b2NjyMyC8Bi,Turtles All the Way Down,Sturgill Simpson,66,2014-05-13,False,0.553,0.314,4,-9.217,1,0.306,0.000578,0.104,0.585,91.7,188187,4
895,1dEy9Pl81QopSxNsPxXQxv,Stay,Mikky Ekko,70,2012-12-11,False,0.621,0.31,9,-10.164,0,0.945,6.12e-05,0.117,0.125,111.893,240707,4
896,2aksifNn5ph8igDOkPBA02,Love On The Brain,Rihanna,0,2016-01-28,True,0.509,0.637,4,-4.83,0,0.0717,1.08e-05,0.0789,0.378,172.006,224000,3
897,2Df8M8sO1zhC71p2XQRwpj,Loud(y),Lewis Del Mar,41,2015-12-04,True,0.712,0.563,7,-7.435,0,0.261,2.61e-05,0.137,0.502,140.048,249520,4
898,2lMRuRF4gR15G7FsLR7128,Gold,Andra Day,30,2015-08-28,False,0.773,0.601,9,-4.724,0,0.508,0.0,0.352,0.518,96.003,225232,4
899,2EURFydZv09nLb8WrGBwBd,Sing Along - Demo,Robert Ellis,36,2015-09-18,False,0.512,0.439,0,-6.523,0,0.834,2.65e-05,0.0872,0.394,77.949,243078,4
900,0JsRZWdSquAQtgyJO8mhLA,Peaches,In The Valley Below,59,2014-01-01,False,0.508,0.517,8,-8.054,0,0.000717,0.0165,0.117,0.0543,103.935,285613,4
901,0x5xE0docLPy68TYjj3xSc,Freaky Feedback Blues,Benji Hughes,0,2016-01-29,False,0.924,0.365,4,-10.303,1,0.204,0.00028,0.0767,0.844,103.018,224160,4
902,1JAMtzu6NKuVWXSH8Yx3En,This Must Be The Place,Kishi Bashi,0,2013-06-05,False,0.734,0.25,4,-9.836,0,0.772,2.54e-05,0.146,0.782,119.99,208307,4
903,0IONkFDQMwLq1cXgzgniFR,Just Kids,Mat Kearney,32,2015-08-21,False,0.724,0.421,6,-11.397,1,0.668,0.000226,0.221,0.234,94.049,292120,4
904,2ad0r8uiQ1Dz8jdFBvYXYi,Suffering (Jacob Hemphill (SOJA) Remix),Rebelution,0,2011-01-11,False,0.788,0.705,11,-4.092,0,0.153,0.0,0.101,0.802,120.081,243613,4
905,0gCLBWaQJSvoTUx95PjlXv,Fantastic Love,The Floozies,0,2015-01-27,False,0.846,0.654,6,-5.256,1,0.0386,0.0025,0.045,0.89,162.009,226667,4
906,5zsILoPlhHIkLS3RZISdW4,Follow You Down,Black River Delta,32,2016-03-04,False,0.295,0.678,4,-5.051,1,0.325,0.0067,0.272,0.661,76.269,244664,4
907,6Pw5hkeMg8lsRMD0EDuZHq,Magenta,DEQN SUE,15,2014-07-15,False,0.681,0.88,7,-4.223,0,0.0471,0.141,0.17,0.672,125.047,248920,4
908,6oBVQQ4y3KkStoa0apQPrK,Love Me Tenderly,The Felice Brothers,0,2008-03-04,False,0.551,0.741,6,-7.094,1,0.757,6.02e-05,0.0598,0.556,80.089,220413,4
909,1QGoxyjSHuRRGfsMJNl526,Thieves & Kings,The Peach Kings,0,2012-09-06,False,0.434,0.725,9,-6.457,1,0.00805,0.0572,0.123,0.437,159.923,220201,4
910,4GVDm5jX8lErsltv18TXhM,Yarmouth Road,Mike Gordon,0,2014-01-01,False,0.78,0.834,1,-6.228,1,0.251,3.21e-05,0.0959,0.846,146.973,280720,4
911,6wBJRGnGOrWy4sACdMekxO,Private Investigations,Dire Straits,0,1982-09-20,False,0.578,0.0997,9,-20.072,1,0.674,0.627,0.0836,0.0648,84.797,406133,4
912,1KnyfC3C3Qtv0S6DOuBnbT,By My Side,The Rides,0,2016-05-06,False,0.445,0.6,0,-5.78,1,0.282,0.0,0.278,0.224,129.312,314867,3
913,6cZW2E838eVDt8ufwmngYo,Right On (feat. Ms. Charm Taylor),Ms. Charm Taylor,0,2015-07-13,False,0.821,0.788,0,-5.407,1,0.0678,0.000291,0.213,0.967,141.047,210440,4
914,3k3FEwVuaokMi13Ud4nnYm,Blood In The Cut,K.Flay,0,2016-08-19,True,0.77,0.659,11,-5.297,0,0.139,0.0152,0.206,0.641,129.973,188160,4
915,3Tb8kiqXWfpyuwvt6LZXjH,Your Future is Not Mine (Illangelo Remix) [feat. Joseph of Mercury],Joseph of Mercury,0,2016-03-04,False,0.587,0.582,1,-8.472,0,0.73,0.0245,0.336,0.192,124.045,235313,4
916,6ZSO7kPn8IMJFymyticbJO,Gold,Kiiara,66,2016-03-22,False,0.6,0.412,8,-9.343,1,0.615,0.0025,0.134,0.408,113.049,225882,5
917,0ZzkZ0e9CYHrhKGFnKczOd,Wild Ride,Jimkata,0,2016-02-12,False,0.586,0.795,10,-6.285,1,0.0936,0.00415,0.187,0.226,94.028,267547,4
