,id,title,album,all_artists,artist_tags,popularity,release_date,explicit,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
355,1A8j067qyiNwQnZT0bzUpZ,This Girl (Kungs Vs. Cookin' On 3 Burners),Layers,"'Kungs', ""Cookin' On 3 Burners""","'edm', 'pop dance', 'uk dance', 'bboy', 'instrumental funk'",80,2016-11-04,False,0.792,0.717,0,-4.759,0,0.0927,3.59e-05,0.226,0.466,121.985,195547,4
356,0PvFJmanyNQMseIFrU708S,For The Night (feat. Lil Baby & DaBaby),Shoot For The Stars Aim For The Moon,"'Pop Smoke', 'Lil Baby', 'DaBaby'","'brooklyn drill', 'rap', 'atl hip hop', 'atl trap', 'rap', 'trap', 'hip hop', 'north carolina hip hop', 'pop rap', 'rap', 'trap'",80,2020-07-03,True,0.823,0.586,6,-6.606,0,0.114,0.0,0.193,0.347,125.971,190476,4
357,1EzrEOXmMH3G43AXT1y7pA,I'm Yours,We Sing. We Dance. We Steal Things.,'Jason Mraz',"'acoustic pop', 'dance pop', 'neo mellow', 'pop'",80,2008-05-12,False,0.703,0.444,11,-9.331,1,0.559,0.0,0.0973,0.712,150.96,242947,4
358,5Q0Nhxo0l2bP3pNjpGJwV1,Party In The U.S.A.,The Time Of Our Lives,'Miley Cyrus','pop',80,2009-01-01,False,0.652,0.698,10,-4.667,0,0.00112,0.000115,0.0886,0.47,96.021,202067,4
359,0TK2YIli7K1leLovkQiNik,Señorita,Señorita,"'Shawn Mendes', 'Camila Cabello'","'canadian pop', 'pop', 'viral pop', 'dance pop', 'pop'",80,2019-06-21,False,0.759,0.54,9,-6.039,0,0.037,0.0,0.0945,0.75,116.947,190960,4
360,6cx06DFPPHchuUAcTxznu9,Head & Heart (feat. MNEK),Head & Heart (feat. MNEK),"'Joel Corry', 'MNEK'","'dance pop', 'pop dance', 'uk dance', 'house', 'pop dance', 'uk contemporary r&b', 'uk dance', 'uk pop'",80,2020-07-03,False,0.734,0.874,8,-3.158,1,0.168,1.14e-05,0.0489,0.905,122.953,166028,4
361,3ebXMykcMXOcLeJ9xZ17XH,Scared to Be Lonely,Scared to Be Lonely,"'Martin Garrix', 'Dua Lipa'","'dutch edm', 'edm', 'pop', 'pop dance', 'progressive house', 'dance pop', 'pop', 'uk pop'",80,2017-01-27,False,0.584,0.54,1,-7.786,0,0.0895,0.0,0.261,0.195,137.972,220883,4
362,1SC5rEoYDGUK4NfG82494W,MONTERO (Call Me By Your Name),MONTERO,'Lil Nas X','lgbtq+ hip hop',80,2021-09-17,True,0.593,0.503,8,-6.725,0,0.293,0.0,0.405,0.71,178.781,137704,4
363,3d8y0t70g7hw2FOWl9Z4Fm,Ophelia,Cleopatra,'The Lumineers',"'folk-pop', 'modern rock', 'stomp and holler'",80,2016-04-08,False,0.664,0.573,5,-6.519,1,0.613,0.000363,0.0857,0.566,76.023,160097,4
364,08bNPGLD8AhKpnnERrAc6G,FRIENDS,FRIENDS,"'Marshmello', 'Anne-Marie'","'brostep', 'edm', 'pop', 'progressive electro house', 'pop'",80,2018-02-09,True,0.626,0.88,9,-2.384,0,0.205,0.0,0.128,0.534,95.079,202621,4
365,2YlZnw2ikdb837oKMKjBkW,Like I'm Gonna Lose You (feat. John Legend),Title (Deluxe),"'Meghan Trainor', 'John Legend'","'hip pop', 'pop', 'neo soul', 'pop', 'pop soul', 'urban contemporary'",80,2015-01-09,False,0.63,0.53,0,-7.259,1,0.4,0.0,0.177,0.417,108.038,225053,3
