Date,Setlist_link_text_link,Artist
1/1/2006,https://www.setlist.fm/setlist/bad-brains/2006/cbgb-new-york-ny-bc46162.html,Bad Brains
12/3/2005,https://www.setlist.fm/setlist/blitz/2005/cbgb-new-york-ny-73829241.html,Blitz
11/26/2005,https://www.setlist.fm/setlist/ringworm/2005/cbgb-new-york-ny-439597bf.html,Ringworm
11/26/2005,https://www.setlist.fm/setlist/danny-diablo/2005/cbgb-new-york-ny-4b9597be.html,Danny Diablo
11/26/2005,https://www.setlist.fm/setlist/agents-of-man/2005/cbgb-new-york-ny-539597bd.html,Agents of Man
11/26/2005,https://www.setlist.fm/setlist/rumpelstiltskin-grinder/2005/cbgb-new-york-ny-138f556d.html,Rumpelstiltskin Grinder
10/21/2005,https://www.setlist.fm/setlist/the-brain-surgeons/2005/cbgb-new-york-ny-23f1988b.html,The Brain Surgeons
10/4/2005,https://www.setlist.fm/setlist/leaves-eyes/2005/cbgb-new-york-ny-2bcef8ce.html,Leaves’ Eyes
10/4/2005,https://www.setlist.fm/setlist/atrocity/2005/cbgb-new-york-ny-23cef8c7.html,Atrocity
10/4/2005,https://www.setlist.fm/setlist/god-dethroned/2005/cbgb-new-york-ny-23cef8bb.html,God Dethroned
10/4/2005,https://www.setlist.fm/setlist/hell-within/2005/cbgb-new-york-ny-3bcef8bc.html,Hell Within
10/4/2005,https://www.setlist.fm/setlist/lilitu/2005/cbgb-new-york-ny-33cef8b1.html,Lilitu
9/29/2005,https://www.setlist.fm/setlist/ric-ocasek/2005/cbgb-new-york-ny-3be71c54.html,Ric Ocasek
9/29/2005,https://www.setlist.fm/setlist/the-hong-kong/2005/cbgb-new-york-ny-33e71c49.html,The Hong Kong
9/28/2005,https://www.setlist.fm/setlist/helmet/2005/cbgb-new-york-ny-53c5a3ed.html,Helmet
9/17/2005,https://www.setlist.fm/setlist/the-hold-steady/2005/cbgb-new-york-ny-3bd40c48.html,The Hold Steady
9/16/2005,https://www.setlist.fm/setlist/nashville-pussy/2005/cbgb-new-york-ny-6bfb524a.html,Nashville Pussy
9/15/2005,https://www.setlist.fm/setlist/paramore/2005/cbgb-new-york-ny-73dc66e5.html,Paramore
9/15/2005,https://www.setlist.fm/setlist/just-surrender/2005/cbgb-new-york-ny-5b8dbf78.html,Just Surrender
9/10/2005,https://www.setlist.fm/setlist/circle-jerks/2005/cbgb-new-york-ny-73cb4ed9.html,Circle Jerks
9/10/2005,https://www.setlist.fm/setlist/adolescents/2005/cbgb-new-york-ny-7bcb4ed8.html,Adolescents
9/4/2005,https://www.setlist.fm/setlist/most-precious-blood/2005/cbgb-new-york-ny-5bd2c70c.html,Most Precious Blood
9/3/2005,https://www.setlist.fm/setlist/today-is-the-day/2005/cbgb-new-york-ny-53fbbb91.html,Today Is the Day
9/1/2005,https://www.setlist.fm/setlist/conflict/2005/cbgb-new-york-ny-63cb4edb.html,Conflict
9/1/2005,https://www.setlist.fm/setlist/verbal-abuse/2005/cbgb-new-york-ny-6bcb4eda.html,Verbal Abuse
8/30/2005,https://www.setlist.fm/setlist/the-bouncing-souls/2005/cbgb-new-york-ny-3bd7a064.html,The Bouncing Souls
8/28/2005,https://www.setlist.fm/setlist/flipper/2005/cbgb-new-york-ny-1bdb315c.html,Flipper
8/28/2005,https://www.setlist.fm/setlist/sham-69/2005/cbgb-new-york-ny-7bfad284.html,Sham 69
8/28/2005,https://www.setlist.fm/setlist/walter-lure/2005/cbgb-new-york-ny-bfacd7a.html,Walter Lure
8/28/2005,https://www.setlist.fm/setlist/cheetah-chrome/2005/cbgb-new-york-ny-1bfacd78.html,Cheetah Chrome
8/27/2005,https://www.setlist.fm/setlist/dead-boys/2005/cbgb-new-york-ny-6bcb4ee6.html,Dead Boys
8/27/2005,https://www.setlist.fm/setlist/anti-nowhere-league/2005/cbgb-new-york-ny-73cb4ee5.html,Anti-Nowhere League
8/27/2005,https://www.setlist.fm/setlist/nihilistics/2005/cbgb-new-york-ny-7bcb4ee4.html,Nihilistics
8/26/2005,https://www.setlist.fm/setlist/flipper/2005/cbgb-new-york-ny-13db315d.html,Flipper
8/25/2005,https://www.setlist.fm/setlist/thursday/2005/cbgb-new-york-ny-13dc6d51.html,Thursday
8/25/2005,https://www.setlist.fm/setlist/the-blackout-pact/2005/cbgb-new-york-ny-3bcab41c.html,The Blackout Pact
8/22/2005,https://www.setlist.fm/setlist/kid-dynamite/2005/cbgb-new-york-ny-4bdcff3e.html,Kid Dynamite
8/22/2005,https://www.setlist.fm/setlist/grey-area/2005/cbgb-new-york-ny-2bce7c42.html,Grey Area
8/22/2005,https://www.setlist.fm/setlist/voice-in-the-wire/2005/cbgb-new-york-ny-33ce7c41.html,Voice in the Wire
8/20/2005,https://www.setlist.fm/setlist/the-vandals/2005/cbgb-new-york-ny-23d7a063.html,The Vandals
8/19/2005,https://www.setlist.fm/setlist/living-colour/2005/cbgb-new-york-ny-43c73fd3.html,Living Colour
8/16/2005,https://www.setlist.fm/setlist/the-offspring/2005/cbgb-new-york-ny-7bcef6bc.html,The Offspring
8/14/2005,https://www.setlist.fm/setlist/gorilla-biscuits/2005/cbgb-new-york-ny-3bddf4a4.html,Gorilla Biscuits
8/14/2005,https://www.setlist.fm/setlist/black-train-jack/2005/cbgb-new-york-ny-63cb4ee7.html,Black Train Jack
8/10/2005,https://www.setlist.fm/setlist/against-me/2005/cbgb-new-york-ny-7bdc7628.html,Against Me!
8/10/2005,https://www.setlist.fm/setlist/the-worldinferno-friendship-society/2005/cbgb-new-york-ny-6bdc762e.html,The World/Inferno Friendship Society
8/10/2005,https://www.setlist.fm/setlist/the-exit/2005/cbgb-new-york-ny-1bc5312c.html,The Exit
8/4/2005,https://www.setlist.fm/setlist/chevelle/2005/cbgb-new-york-ny-1be58988.html,Chevelle
7/25/2005,https://www.setlist.fm/setlist/modern-life-is-war/2005/cbgb-new-york-ny-63d056b7.html,Modern Life Is War
7/24/2005,https://www.setlist.fm/setlist/between-the-buried-and-me/2005/cbgb-new-york-ny-3ebf92f.html,Between the Buried and Me
7/7/2005,https://www.setlist.fm/setlist/full-blown-chaos/2005/cbgb-new-york-ny-33f3a469.html,Full Blown Chaos
7/7/2005,https://www.setlist.fm/setlist/himsa/2005/cbgb-new-york-ny-23f3a467.html,Himsa
7/7/2005,https://www.setlist.fm/setlist/the-agony-scene/2005/cbgb-new-york-ny-2bf3a466.html,The Agony Scene
7/7/2005,https://www.setlist.fm/setlist/the-esoteric/2005/cbgb-new-york-ny-3bf3a464.html,The Esoteric
7/3/2005,https://www.setlist.fm/setlist/icepick/2005/cbgb-new-york-ny-7b9b4238.html,Icepick
7/3/2005,https://www.setlist.fm/setlist/homicidal/2005/cbgb-new-york-ny-6b9b423e.html,Homicidal
7/3/2005,https://www.setlist.fm/setlist/billy-club-sandwich/2005/cbgb-new-york-ny-739b423d.html,Billy Club Sandwich
7/3/2005,https://www.setlist.fm/setlist/subzero/2005/cbgb-new-york-ny-7b9b423c.html,Subzero
7/3/2005,https://www.setlist.fm/setlist/bulldoze/2005/cbgb-new-york-ny-6b9b4232.html,Bulldoze
7/3/2005,https://www.setlist.fm/setlist/underdog/2005/cbgb-new-york-ny-739b4231.html,Underdog
7/3/2005,https://www.setlist.fm/setlist/killing-time/2005/cbgb-new-york-ny-7b9b4230.html,Killing Time
6/26/2005,https://www.setlist.fm/setlist/dead-poetic/2005/cbgb-new-york-ny-3b8ce4d8.html,Dead Poetic
6/26/2005,https://www.setlist.fm/setlist/the-beautiful-mistake/2005/cbgb-new-york-ny-238ce4df.html,The Beautiful Mistake
6/26/2005,https://www.setlist.fm/setlist/as-cities-burn/2005/cbgb-new-york-ny-2b8ce4de.html,As Cities Burn
6/26/2005,https://www.setlist.fm/setlist/classic-case/2005/cbgb-new-york-ny-338ce4dd.html,Classic Case
6/26/2005,https://www.setlist.fm/setlist/brandtson/2005/cbgb-new-york-ny-3b8ce4dc.html,Brandtson
6/12/2005,https://www.setlist.fm/setlist/agnostic-front/2005/cbgb-new-york-ny-5b996378.html,Agnostic Front
5/31/2005,https://www.setlist.fm/setlist/fairmont/2005/cbgb-new-york-ny-2beafc0e.html,Fairmont
5/22/2005,https://www.setlist.fm/setlist/weerd-science/2005/cbgb-new-york-ny-43d7c7d3.html,Weerd Science
5/22/2005,https://www.setlist.fm/setlist/bane/2005/cbgb-new-york-ny-73cac695.html,Bane
5/22/2005,https://www.setlist.fm/setlist/the-suicide-file/2005/cbgb-new-york-ny-7bcac694.html,The Suicide File
5/15/2005,https://www.setlist.fm/setlist/100-demons/2005/cbgb-new-york-ny-b8fada6.html,100 Demons
5/1/2005,https://www.setlist.fm/setlist/patti-smith/2005/cbgb-new-york-ny-7bf752e0.html,Patti Smith
4/26/2005,https://www.setlist.fm/setlist/god-forbid/2005/cbgb-new-york-ny-3bf260bc.html,God Forbid
4/26/2005,https://www.setlist.fm/setlist/caliban/2005/cbgb-new-york-ny-23f260b3.html,Caliban
4/26/2005,https://www.setlist.fm/setlist/it-dies-today/2005/cbgb-new-york-ny-33f260b1.html,It Dies Today
4/26/2005,https://www.setlist.fm/setlist/full-blown-chaos/2005/cbgb-new-york-ny-3bf260b0.html,Full Blown Chaos
4/13/2005,https://www.setlist.fm/setlist/adema/2005/cbgb-new-york-ny-33f25451.html,Adema
3/21/2005,https://www.setlist.fm/setlist/the-ark/2005/cbgb-new-york-ny-3b958408.html,The Ark
3/18/2005,https://www.setlist.fm/setlist/the-brain-surgeons/2005/cbgb-new-york-ny-43f1e343.html,The Brain Surgeons
3/9/2005,https://www.setlist.fm/setlist/trivium/2005/cbgb-new-york-ny-73da32b9.html,Trivium
3/9/2005,https://www.setlist.fm/setlist/3-inches-of-blood/2005/cbgb-new-york-ny-23f2687f.html,3 Inches of Blood
3/9/2005,https://www.setlist.fm/setlist/still-remains/2005/cbgb-new-york-ny-2bf2687e.html,Still Remains
3/9/2005,https://www.setlist.fm/setlist/the-agony-scene/2005/cbgb-new-york-ny-33f2687d.html,The Agony Scene
2/28/2005,https://www.setlist.fm/setlist/guitar-wolf/2005/cbgb-new-york-ny-3bf40030.html,Guitar Wolf
2/17/2005,https://www.setlist.fm/setlist/mudvayne/2005/cbgb-new-york-ny-7bdf6e9c.html,Mudvayne
2/13/2005,https://www.setlist.fm/setlist/behold-the-arctopus/2005/cbgb-new-york-ny-7b8f5ab0.html,Behold… the Arctopus
2/6/2005,https://www.setlist.fm/setlist/ascension-of-the-watchers/2005/cbgb-new-york-ny-6b85c6a2.html,Ascension of the Watchers
1/29/2005,https://www.setlist.fm/setlist/the-brain-surgeons/2005/cbgb-new-york-ny-3f7392b.html,The Brain Surgeons
1/21/2005,https://www.setlist.fm/setlist/locksley/2005/cbgb-new-york-ny-73dc46c5.html,Locksley
1/9/2005,https://www.setlist.fm/setlist/all-that-remains/2005/cbgb-new-york-ny-73df462d.html,All That Remains
1/9/2005,https://www.setlist.fm/setlist/trivium/2005/cbgb-new-york-ny-6b8f5ad2.html,Trivium
1/9/2005,https://www.setlist.fm/setlist/the-acacia-strain/2005/cbgb-new-york-ny-7b8f5ad0.html,The Acacia Strain
12/3/2004,https://www.setlist.fm/setlist/eagles-of-death-metal/2004/cbgb-new-york-ny-3bdd2c64.html,Eagles of Death Metal
12/3/2004,https://www.setlist.fm/setlist/walking-concert/2004/cbgb-new-york-ny-3ec59e7.html,Walking Concert
11/8/2004,https://www.setlist.fm/setlist/thestart/2004/cbgb-new-york-ny-13fca1c9.html,theSTART
11/7/2004,https://www.setlist.fm/setlist/agnostic-front/2004/cbgb-new-york-ny-3d2d58f.html,Agnostic Front
10/24/2004,https://www.setlist.fm/setlist/anterrabae/2004/cbgb-new-york-ny-53dc5b39.html,Anterrabae
10/24/2004,https://www.setlist.fm/setlist/the-akas-are-everywhere/2004/cbgb-new-york-ny-23cab41f.html,The A.K.A.s (Are Everywhere!)
10/15/2004,https://www.setlist.fm/setlist/death-from-above-1979/2004/cbgb-new-york-ny-38d3513.html,Death From Above 1979
10/14/2004,https://www.setlist.fm/setlist/silverstein/2004/cbgb-new-york-ny-4bc37f52.html,Silverstein
10/13/2004,https://www.setlist.fm/setlist/gratitude/2004/cbgb-new-york-ny-2bf3c062.html,Gratitude
10/10/2004,https://www.setlist.fm/setlist/sheer-terror/2004/cbgb-new-york-ny-bf0c50e.html,Sheer Terror
10/9/2004,https://www.setlist.fm/setlist/sheer-terror/2004/cbgb-new-york-ny-23f0c4e3.html,Sheer Terror
9/30/2004,https://www.setlist.fm/setlist/celldweller/2004/cbgb-new-york-ny-73c5ea61.html,Celldweller
9/4/2004,https://www.setlist.fm/setlist/delicious/2004/cbgb-new-york-ny-2bdec8e6.html,Delicious
8/26/2004,https://www.setlist.fm/setlist/kory-clarke/2004/cbgb-new-york-ny-6bc5fa6a.html,Kory Clarke
8/16/2004,https://www.setlist.fm/setlist/mewithoutyou/2004/cbgb-new-york-ny-53ff934d.html,mewithoutYou
8/16/2004,https://www.setlist.fm/setlist/blindside/2004/cbgb-new-york-ny-39a255f.html,Blindside
8/16/2004,https://www.setlist.fm/setlist/the-kicks/2004/cbgb-new-york-ny-b9a255e.html,The Kicks
7/28/2004,https://www.setlist.fm/setlist/celldweller/2004/cbgb-new-york-ny-7bdbaa24.html,Celldweller
7/14/2004,https://www.setlist.fm/setlist/fairmont/2004/cbgb-new-york-ny-43ea879f.html,Fairmont
7/11/2004,https://www.setlist.fm/setlist/agnostic-front/2004/cbgb-new-york-ny-3be19408.html,Agnostic Front
