Episode Index,Episode Id,Episode Length (ms),Episode Minutes,Episode Seconds,Episode Date,Episode Name,Episode Description,Track ID,Song,Performer,Track Popularity,Track Release Date,Explicit,Danceability,Energy,Key,Loudness,Mode,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Track Duration (ms),Track Minutes,Track Seconds,Time Signature
21,4VK0vS7qV11q7J8atH48WP,1154939,19,14,4/21/2021,Porter Robinson - Get Your Wish,"Porter Robinson is a Grammy-nominated electronic artist and DJ from North Carolina. In 2014, his first album hit #1 on Billboard’s Dance chart, and he was named MTVU’s Artist of the Year, and one of the top DJs in the world — but then, he got stuck. He didn’t release his second album for seven years, until April 2021. In this episode, he talks about what he was grappling with in those intervening years, and how all of that became part of his song ""Get Your Wish.""  For more, visit songexploder.net/porter-robinson",6aUfT9QOcTHhxLNrf1aVR8,get your wish,porter robinson,58,4/23/2021,0,0.541,0.685,11,-5.844,1,0.0983,0,0.124,0.442,95.008,218510,3,38,4
22,05BVaYDXeCx6kqblN9S2k2,1315801,21,55,4/7/2021,Lianne La Havas - Can't Fight,"Lianne La Havas is a singer and songwriter from London. She’s been nominated for a Grammy and a Brit award, and in 2020, she released her third album. In this episode, she breaks down her song ""Can’t Fight,"" and traces its evolution — along with her own evolution – over several years.  For more, visit songexploder.net/lianne-la-havas.",2gnvh9HRH5fCo5iDQXMvQN,can't fight,lianne la havas,60,7/17/2020,0,0.737,0.522,6,-9.205,0,0.0772,0.00347,0.152,0.768,86.985,190560,3,10,4
23,3potLFAqqqEqMqM6AXxpXe,1479668,24,39,3/24/2021,Jon Batiste - We Are,"Jon Batiste is a pianist, songwriter, and composer from New Orleans. He’s been nominated for multiple Grammys, and just won the Golden Globe and got an Oscar nomination for the soundtrack to the Pixar film Soul, which he composed along with Trent Reznor and Atticus Ross. Jon is also a recipient of the American Jazz Museum’s lifetime achievement award, and on weeknights, you can see him as the bandleader on The Late Show with Stephen Colbert. In March 2021, he put out his new album, We Are. But the title track from it came actually came out much earlier, last year, in June 2020. In this episode, Jon talks about how he drew from his roots, at a very personal level — and at a cultural, historical level  — and wove all of it into the song.  For more, visit songexploder.net/jon-batiste.",3CAUdHOsgijdnNsjO7o7Hd,we are,autumn rowe,47,3/19/2021,0,0.472,0.488,3,-9.836,0,0.299,0.00526,0.164,0.328,96.539,264501,4,24,4
24,4jWIYsnr7lq2OXsgXAhjwL,1257522,20,57,3/10/2021,Glass Animals - Heat Waves,"Glass Animals is a band from Oxford, England. They’ve released three albums since forming back in 2010. One of their biggest hits is the song ""Heat Waves,"" which came out in June 2020. It was certified Gold in several countries, and Platinum in Australia, where it hit #1. Dave Bayley is the singer, songwriter, and producer of the band. He won the UK’s Music Producers Guild award for ""Self-Producing Artist of the Year,"" and he’s produced songs for other artists, as well. In this episode, Dave tells the story of making ""Heat Waves,"" over several months. First, on his own, and then later with his bandmates, Joe Seaward, Ed Irwin-Singer, and Drew MacFarlane.  For more, visit songexploder.net/glass-animals.",3USxtqRwSYz57Ewm6wWRMp,heat waves,glass animals,90,8/7/2020,0,0.761,0.525,11,-6.9,1,0.44,6.7e-06,0.0921,0.531,80.87,238805,3,58,4
25,2cvfPSFV7zwYvDV0OdazwF,1235109,20,35,2/24/2021,Sasha Sloan - Until It Happens To You,"Sasha Sloan is a singer and songwriter based in Nashville. She put out her debut album, Only Child, last year. Before that, she’d written songs for artists like Katy Perry, John Legend, and Charli XCX, and she’s been a featured guest vocalist on songs by electronic artists Odesza and Kygo. Sasha made her album with her boyfriend, producer Henry Allen, aka King Henry, whose other production credits include songs by Beyoncé and Diplo. In this episode, Sasha, along with Henry, tells the story of making her song ""Until It Happens to You.""  For more, visit songexploder.net/sasha-sloan.",0IJQOj33GVl6osZmxClKqV,until it happens to you,sasha alex sloan,51,10/16/2020,0,0.414,0.418,0,-10.108,0,0.49,0.000356,0.0893,0.361,102.708,221733,3,41,5
26,7bcyLgqvrDUdFClGei9Bmo,1234770,20,34,2/10/2021,PJ Morton - Say So (feat. JoJo),"PJ Morton is a singer, songwriter, and producer. He’s the first artist ever to be nominated for a Grammy for the Best R&B album three years in a row. In 2020, he won the Grammy for Best R&B song for his track, ""Say So,"" which is a duet with the singer JoJo, a platinum-selling artist in her own right. But that version of ""Say So"" almost didn’t come to exist. In this episode, PJ takes us through his original voice memos, the demos, and the isolated pieces of the final studio recording, as he tells the story of how the track was created, then disappeared, and then got re-created—and ended up becoming one of his biggest songs.  For more, visit songexploder.net/pj-morton.",28fObLCR38ziwHa7vKXQ0J,say so (feat. jojo),jojo,65,8/9/2019,0,0.48,0.342,0,-10.393,1,0.34,0,0.113,0.172,74.974,213134,3,33,4
27,40smDIpJeB7V1rnWBi8rSt,1562972,26,2,1/27/2021,HAIM - Summer Girl,"HAIM is a band from Los Angeles, made up of the sisters Danielle, Este, and Alana Haim. They’ve released three albums, and they’ve been nominated for three Grammys. Over the years, they’ve worked extensively with Grammy-winning producer Ariel Rechtshaid. Danielle and Ariel share the emotional backstory of the song “Summer Girl,” from HAIM’s third album, Women in Music Pt. III. In this episode, they break down their experience creating the song, along with Este Haim and the song’s co-producer and co-writer Rostam.  For more, visit songexploder.net/haim.",7GLS0oi9U51hfoFinKoRIj,summer girl - bonus track,haim,29,4/29/2020,0,0.514,0.545,1,-7.96,0,0.35,0.0149,0.162,0.611,100.027,205027,3,25,4
28,0J60AKfzyyL06pkIKTpKm9,1184379,19,44,1/13/2021,Yusuf / Cat Stevens - Father and Son,"The legendary singer/songwriter Yusuf / Cat Stevens released his first album in 1967. He’s a member of the Rock & Roll Hall of Fame, and his albums have sold millions. In 2020, he released Tea for the Tillerman², a re-imagining of his hit 1970 album Tea for the Tillerman. In the song “Father & Son,” he sings a duet between the two title characters, doing both voices. But in the 2020 version, he approached this song in a kind of astonishing way—he recorded the part of the father, but for the part of the son, he used a live recording of himself from 1970, taken from a show he played at The Troubadour in Los Angeles. So the two parts are still both sung in his voice, but 50 years apart. In this episode, the 200th episode of Song Exploder, Yusuf / Cat Stevens tells the story of how he created, and then re-created “Father & Son.”  For more, visit songexploder.net/yusuf-cat-stevens.",20y3DqwhOEWft7nQncfc9O,father and son,yusuf / cat stevens,36,9/18/2020,0,0.471,0.413,6,-7.696,1,0.583,0.000522,0.136,0.261,136.703,229933,3,49,4
29,1nUMuuF2FfMFsfysxtfWvv,1465483,24,25,12/16/2020,Common - A Riot In My Mind,"Common is a Grammy- and Oscar-winning rapper, actor, and activist from Chicago. He’s been making records since 1992, and in October, he released his thirteenth album, A Beautiful Revolution. In this episode, he breaks down how he made the song “A Riot In My Mind,” along with a handful of collaborators, including Lenny Kravitz and a cameo from Chuck D.  songexploder.net/common",2hMP8QSL2wJas8LZKLW7nC,a riot in my mind [feat. lenny kravitz & chuck d],chuck d,25,10/30/2020,0,0.444,0.851,7,-6.933,1,0.386,0,0.337,0.346,98.66,313760,5,13,4
30,1hLEHjHK8AtbWm6VMArFU1,1154156,19,14,12/2/2020,Jewel - You Were Meant For Me,"Jewel is a singer-songwriter from Homer, Alaska, who’s received four Grammy nominations and sold over 30 million albums worldwide. Her debut album, Pieces of You, came out in 1995, and a 25th anniversary edition was released in November 2020. That album contains the hit song ""You Were Meant for Me,"" but it turns out it wasn’t a runaway success—not at first. In this episode, Jewel traces the history of making “You Were Meant For Me,” starting with the demo, and moving through all the different versions that were made along the way.  songexploder.net/jewel",14sVnTYvfzo9sQM4RkQTaq,you were meant for me,jewel,12,2/28/1995,0,0.582,0.33,6,-7.928,1,0.791,1.48e-06,0.105,0.407,111.873,254480,4,14,4
31,6O5kgfjRhp4ITnam6YZxjP,1676370,27,56,11/18/2020,Billie Eilish - Everything I Wanted,"Billie Eilish started releasing music when she was 14 years old. Her debut album came out last year, when she was 17. It debuted at Number 1 on Billboard, went triple platinum, and won five Grammys. Billie made that record with her brother and creative partner, producer Finneas O’Connell, in their parents’ house in Highland Park, Los Angeles.   While working on that album, they also started writing this song, “Everything I Wanted,” which came out as a single in November 2019. It was Billie’s second top ten hit, and it went double platinum, too. In this episode, you’ll hear some of the original voice memos Billie and Finneas made while writing, and the two of them explain why the song was almost never finished.  songexploder.net/billie-eilish",3ZCTVFBt2Brf31RLEnCkWJ,everything i wanted,billie eilish,84,11/13/2019,0,0.704,0.225,6,-14.454,0,0.902,0.657,0.106,0.243,120.006,245426,4,5,4
