FIPS,State,Year,Total Population,Labor Force Population,Employed,Unemployed
29,Missouri,1978,"3,581,750   ","2,261,997   ","2,151,197   ","110,800   "
30,Montana,1978,"564,667   ","364,452   ","344,035   ","20,417   "
31,Nebraska,1978,"1,127,167   ","752,855   ","730,576   ","22,279   "
32,Nevada,1978,"528,750   ","373,273   ","356,739   ","16,534   "
33,New Hampshire,1978,"647,833   ","435,293   ","418,708   ","16,585   "
34,New Jersey,1978,"5,497,917   ","3,461,135   ","3,209,835   ","251,300   "
35,New Mexico,1978,"866,417   ","532,398   ","499,606   ","32,792   "
36,New York,1978,"13,252,750   ","7,845,437   ","7,241,610   ","603,827   "
37,North Carolina,1978,"4,113,167   ","2,764,442   ","2,638,240   ","126,202   "
38,North Dakota,1978,"458,750   ","294,926   ","282,521   ","12,405   "
39,Ohio,1978,"7,891,000   ","4,953,805   ","4,681,184   ","272,621   "
40,Oklahoma,1978,"2,112,167   ","1,268,668   ","1,226,210   ","42,458   "
41,Oregon,1978,"1,862,167   ","1,209,185   ","1,135,098   ","74,087   "
42,Pennsylvania,1978,"8,938,917   ","5,302,803   ","4,931,164   ","371,639   "
44,Rhode Island,1978,"714,333   ","450,905   ","422,337   ","28,568   "
45,South Carolina,1978,"2,117,667   ","1,357,715   ","1,282,095   ","75,620   "
46,South Dakota,1978,"490,000   ","322,748   ","312,458   ","10,290   "
47,Tennessee,1978,"3,254,167   ","1,974,814   ","1,861,117   ","113,697   "
48,Texas,1978,"9,535,417   ","6,231,252   ","5,924,912   ","306,340   "
49,Utah,1978,"896,750   ","568,456   ","546,449   ","22,007   "
50,Vermont,1978,"359,833   ","237,269   ","224,165   ","13,104   "
51,Virginia,1978,"3,755,667   ","2,484,887   ","2,356,079   ","128,808   "
53,Washington,1978,"2,823,333   ","1,809,452   ","1,686,389   ","123,063   "
54,West Virginia,1978,"1,412,667   ","736,242   ","689,102   ","47,140   "
55,Wisconsin,1978,"3,366,333   ","2,252,355   ","2,142,167   ","110,188   "
56,Wyoming,1978,"304,250   ","210,109   ","203,975   ","6,134   "
01,Alabama,1979,"2,790,583   ","1,658,246   ","1,538,621   ","119,625   "
02,Alaska,1979,"258,167   ","184,739   ","167,982   ","16,757   "
04,Arizona,1979,"1,908,083   ","1,155,789   ","1,097,452   ","58,337   "
05,Arkansas,1979,"1,646,917   ","974,311   ","913,221   ","61,090   "
06,California,1979,"17,214,167   ","11,292,953   ","10,590,466   ","702,487   "
08,Colorado,1979,"2,069,833   ","1,434,055   ","1,367,649   ","66,406   "
09,Connecticut,1979,"2,339,167   ","1,565,208   ","1,485,071   ","80,137   "
10,Delaware,1979,"439,167   ","281,027   ","261,772   ","19,255   "
11,District of Columbia,1979,"501,833   ","329,713   ","307,281   ","22,432   "
12,Florida,1979,"7,279,417   ","4,141,853   ","3,894,608   ","247,245   "
13,Georgia,1979,"3,828,667   ","2,468,340   ","2,342,044   ","126,296   "
15,Hawaii,1979,"644,250   ","428,331   ","403,984   ","24,347   "
16,Idaho,1979,"647,917   ","428,395   ","403,515   ","24,880   "
17,Illinois,1979,"8,420,333   ","5,458,173   ","5,155,032   ","303,141   "
18,Indiana,1979,"3,977,750   ","2,631,223   ","2,461,836   ","169,387   "
19,Iowa,1979,"2,142,083   ","1,422,631   ","1,363,266   ","59,365   "
20,Kansas,1979,"1,719,250   ","1,161,289   ","1,125,464   ","35,825   "
21,Kentucky,1979,"2,619,667   ","1,611,702   ","1,522,101   ","89,601   "
22,Louisiana,1979,"2,905,500   ","1,719,431   ","1,604,853   ","114,578   "
23,Maine,1979,"818,417   ","498,906   ","465,875   ","33,031   "
24,Maryland,1979,"3,114,500   ","2,112,310   ","1,989,843   ","122,467   "
25,Massachusetts,1979,"4,338,667   ","2,859,551   ","2,703,084   ","156,467   "
26,Michigan,1979,"6,718,333   ","4,324,424   ","3,985,396   ","339,028   "
27,Minnesota,1979,"2,957,083   ","2,046,339   ","1,958,140   ","88,199   "
28,Mississippi,1979,"1,748,333   ","1,021,623   ","963,423   ","58,200   "
29,Missouri,1979,"3,620,750   ","2,301,831   ","2,192,454   ","109,377   "
30,Montana,1979,"571,917   ","369,431   ","350,133   ","19,298   "
31,Nebraska,1979,"1,137,750   ","759,449   ","737,550   ","21,899   "
32,Nevada,1979,"567,667   ","402,062   ","382,264   ","19,798   "
33,New Hampshire,1979,"667,583   ","454,533   ","440,262   ","14,271   "
34,New Jersey,1979,"5,553,917   ","3,560,961   ","3,317,384   ","243,577   "
35,New Mexico,1979,"895,583   ","553,121   ","516,463   ","36,658   "
36,New York,1979,"13,278,917   ","7,994,479   ","7,428,372   ","566,107   "
37,North Carolina,1979,"4,197,500   ","2,809,110   ","2,673,630   ","135,480   "
38,North Dakota,1979,"463,500   ","300,003   ","287,587   ","12,416   "
39,Ohio,1979,"7,948,500   ","5,059,133   ","4,761,466   ","297,667   "
40,Oklahoma,1979,"2,162,917   ","1,309,688   ","1,269,065   ","40,623   "
41,Oregon,1979,"1,923,417   ","1,246,757   ","1,162,290   ","84,467   "
42,Pennsylvania,1979,"9,001,833   ","5,377,512   ","5,001,124   ","376,388   "
44,Rhode Island,1979,"719,000   ","463,450   ","434,112   ","29,338   "
45,South Carolina,1979,"2,169,417   ","1,374,740   ","1,306,553   ","68,187   "
46,South Dakota,1979,"492,917   ","326,159   ","315,185   ","10,974   "
47,Tennessee,1979,"3,330,417   ","2,036,299   ","1,916,951   ","119,348   "
48,Texas,1979,"9,870,750   ","6,501,097   ","6,217,782   ","283,315   "
49,Utah,1979,"929,083   ","605,874   ","579,295   ","26,579   "
50,Vermont,1979,"368,667   ","243,880   ","231,586   ","12,294   "
51,Virginia,1979,"3,824,750   ","2,532,240   ","2,412,098   ","120,142   "
53,Washington,1979,"2,940,250   ","1,918,785   ","1,789,134   ","129,651   "
54,West Virginia,1979,"1,430,417   ","754,601   ","699,025   ","55,576   "
55,Wisconsin,1979,"3,419,750   ","2,309,934   ","2,205,872   ","104,062   "
56,Wyoming,1979,"319,667   ","222,839   ","217,096   ","5,743   "
01,Alabama,1980,"2,827,447   ","1,674,844   ","1,529,549   ","145,295   "
02,Alaska,1980,"264,746   ","189,697   ","171,714   ","17,983   "
04,Arizona,1980,"1,995,956   ","1,234,989   ","1,153,197   ","81,792   "
05,Arkansas,1980,"1,668,874   ","990,297   ","915,727   ","74,570   "
06,California,1980,"17,718,629   ","11,625,403   ","10,824,606   ","800,797   "
08,Colorado,1980,"2,128,525   ","1,498,087   ","1,410,497   ","87,590   "
09,Connecticut,1980,"2,370,384   ","1,589,268   ","1,498,315   ","90,953   "
10,Delaware,1980,"439,938   ","283,825   ","262,436   ","21,389   "
11,District of Columbia,1980,"493,230   ","324,450   ","300,505   ","23,945   "
12,Florida,1980,"7,616,882   ","4,315,685   ","4,057,730   ","257,955   "
13,Georgia,1980,"3,923,903   ","2,535,168   ","2,376,030   ","159,138   "
15,Hawaii,1980,"663,065   ","440,106   ","418,355   ","21,751   "
