FIPS,State,Year,Total Population,Labor Force Population,Employed,Unemployed
47,Tennessee,2000,"4,357,893   ","2,845,308   ","2,735,994   ","109,314   "
48,Texas,2000,"15,201,236   ","10,397,789   ","9,943,071   ","454,718   "
49,Utah,2000,"1,581,565   ","1,138,756   ","1,100,798   ","37,958   "
50,Vermont,2000,"474,010   ","334,165   ","324,945   ","9,220   "
51,Virginia,2000,"5,302,690   ","3,610,243   ","3,527,479   ","82,764   "
53,Washington,2000,"4,465,197   ","3,065,055   ","2,910,080   ","154,975   "
54,West Virginia,2000,"1,431,044   ","798,772   ","754,372   ","44,400   "
55,Wisconsin,2000,"4,085,968   ","2,981,703   ","2,880,877   ","100,826   "
56,Wyoming,2000,"372,910   ","265,915   ","255,819   ","10,096   "
01,Alabama,2001,"3,398,456   ","2,132,261   ","2,022,599   ","109,662   "
02,Alaska,2001,"443,321   ","321,942   ","301,756   ","20,186   "
04,Arizona,2001,"3,936,355   ","2,584,996   ","2,462,520   ","122,476   "
05,Arkansas,2001,"2,041,323   ","1,263,108   ","1,202,987   ","60,121   "
06,California,2001,"25,560,595   ","17,145,262   ","16,208,523   ","936,739   "
08,Colorado,2001,"3,341,570   ","2,391,028   ","2,299,651   ","91,377   "
09,Connecticut,2001,"2,616,220   ","1,754,017   ","1,702,622   ","51,395   "
10,Delaware,2001,"605,805   ","421,830   ","407,114   ","14,716   "
11,District of Columbia,2001,"461,896   ","312,061   ","292,370   ","19,691   "
12,Florida,2001,"12,757,077   ","8,081,808   ","7,702,461   ","379,347   "
13,Georgia,2001,"6,215,888   ","4,241,215   ","4,071,965   ","169,250   "
15,Hawaii,2001,"912,759   ","612,596   ","586,406   ","26,190   "
16,Idaho,2001,"969,618   ","678,395   ","644,046   ","34,349   "
17,Illinois,2001,"9,403,328   ","6,449,521   ","6,099,153   ","350,368   "
18,Indiana,2001,"4,633,605   ","3,145,690   ","3,013,672   ","132,018   "
19,Iowa,2001,"2,241,711   ","1,613,228   ","1,559,254   ","53,974   "
20,Kansas,2001,"2,014,868   ","1,400,280   ","1,340,173   ","60,107   "
21,Kentucky,2001,"3,105,427   ","1,950,605   ","1,849,722   ","100,883   "
22,Louisiana,2001,"3,298,906   ","2,029,075   ","1,915,287   ","113,788   "
23,Maine,2001,"1,005,599   ","675,811   ","650,462   ","25,349   "
24,Maryland,2001,"4,055,923   ","2,841,946   ","2,724,414   ","117,532   "
25,Massachusetts,2001,"4,966,979   ","3,381,587   ","3,252,970   ","128,617   "
26,Michigan,2001,"7,566,073   ","5,133,170   ","4,867,509   ","265,661   "
27,Minnesota,2001,"3,780,379   ","2,848,579   ","2,742,059   ","106,520   "
28,Mississippi,2001,"2,106,532   ","1,294,114   ","1,223,497   ","70,617   "
29,Missouri,2001,"4,270,862   ","2,982,517   ","2,847,434   ","135,083   "
30,Montana,2001,"693,797   ","465,620   ","444,076   ","21,544   "
31,Nebraska,2001,"1,292,693   ","947,999   ","918,106   ","29,893   "
32,Nevada,2001,"1,585,390   ","1,116,298   ","1,059,075   ","57,223   "
33,New Hampshire,2001,"964,350   ","691,565   ","667,961   ","23,604   "
34,New Jersey,2001,"6,496,390   ","4,294,647   ","4,113,262   ","181,385   "
35,New Mexico,2001,"1,356,803   ","859,065   ","816,418   ","42,647   "
36,New York,2001,"14,633,659   ","9,119,704   ","8,675,316   ","444,388   "
37,North Carolina,2001,"6,214,634   ","4,193,892   ","3,964,143   ","229,749   "
38,North Dakota,2001,"486,168   ","344,490   ","334,744   ","9,746   "
39,Ohio,2001,"8,665,800   ","5,823,835   ","5,566,400   ","257,435   "
40,Oklahoma,2001,"2,598,157   ","1,676,009   ","1,615,028   ","60,981   "
41,Oregon,2001,"2,678,805   ","1,817,153   ","1,701,488   ","115,665   "
42,Pennsylvania,2001,"9,525,114   ","6,188,792   ","5,890,513   ","298,279   "
44,Rhode Island,2001,"819,147   ","541,618   ","517,273   ","24,345   "
45,South Carolina,2001,"3,068,817   ","1,943,755   ","1,843,373   ","100,382   "
46,South Dakota,2001,"565,553   ","412,497   ","400,076   ","12,421   "
47,Tennessee,2001,"4,402,500   ","2,858,050   ","2,726,557   ","131,493   "
48,Texas,2001,"15,514,045   ","10,553,723   ","10,028,833   ","524,890   "
49,Utah,2001,"1,615,330   ","1,158,375   ","1,107,610   ","50,765   "
50,Vermont,2001,"478,387   ","337,871   ","326,959   ","10,912   "
51,Virginia,2001,"5,388,623   ","3,687,503   ","3,570,211   ","117,292   "
53,Washington,2001,"4,534,090   ","3,059,553   ","2,874,097   ","185,456   "
54,West Virginia,2001,"1,429,858   ","796,925   ","754,859   ","42,066   "
55,Wisconsin,2001,"4,126,916   ","3,015,663   ","2,882,461   ","133,202   "
56,Wyoming,2001,"376,270   ","269,510   ","259,051   ","10,459   "
01,Alabama,2002,"3,415,719   ","2,121,061   ","1,996,406   ","124,655   "
02,Alaska,2002,"452,159   ","327,282   ","303,826   ","23,456   "
04,Arizona,2002,"4,033,058   ","2,665,805   ","2,501,267   ","164,538   "
05,Arkansas,2002,"2,055,929   ","1,278,950   ","1,210,946   ","68,004   "
06,California,2002,"25,945,800   ","17,295,533   ","16,128,261   ","1,167,272   "
08,Colorado,2002,"3,398,669   ","2,442,678   ","2,303,248   ","139,430   "
09,Connecticut,2002,"2,640,614   ","1,781,083   ","1,703,536   ","77,547   "
10,Delaware,2002,"615,026   ","417,578   ","400,518   ","17,060   "
11,District of Columbia,2002,"463,451   ","308,513   ","288,115   ","20,398   "
12,Florida,2002,"13,043,870   ","8,151,207   ","7,691,839   ","459,368   "
13,Georgia,2002,"6,330,850   ","4,308,736   ","4,093,750   ","214,986   "
15,Hawaii,2002,"925,387   ","609,540   ","584,865   ","24,675   "
16,Idaho,2002,"988,768   ","686,073   ","647,201   ","38,872   "
17,Illinois,2002,"9,456,435   ","6,339,976   ","5,924,794   ","415,182   "
18,Indiana,2002,"4,663,589   ","3,165,599   ","3,003,690   ","161,909   "
19,Iowa,2002,"2,249,438   ","1,631,982   ","1,566,561   ","65,421   "
20,Kansas,2002,"2,029,447   ","1,421,930   ","1,349,079   ","72,851   "
21,Kentucky,2002,"3,127,660   ","1,942,848   ","1,830,741   ","112,107   "
22,Louisiana,2002,"3,314,247   ","2,017,704   ","1,897,469   ","120,235   "
23,Maine,2002,"1,017,595   ","679,467   ","649,451   ","30,016   "
24,Maryland,2002,"4,118,423   ","2,871,644   ","2,742,805   ","128,839   "
25,Massachusetts,2002,"4,995,795   ","3,432,490   ","3,252,509   ","179,981   "
26,Michigan,2002,"7,608,683   ","5,020,069   ","4,709,729   ","310,340   "
27,Minnesota,2002,"3,823,431   ","2,872,289   ","2,745,712   ","126,577   "
28,Mississippi,2002,"2,116,250   ","1,291,917   ","1,209,132   ","82,785   "
29,Missouri,2002,"4,307,062   ","2,976,889   ","2,818,374   ","158,515   "
30,Montana,2002,"701,245   ","466,726   ","445,360   ","21,366   "
31,Nebraska,2002,"1,302,164   ","955,349   ","920,300   ","35,049   "
32,Nevada,2002,"1,645,533   ","1,139,930   ","1,075,809   ","64,121   "
33,New Hampshire,2002,"978,322   ","698,520   ","667,244   ","31,276   "
34,New Jersey,2002,"6,549,692   ","4,354,232   ","4,102,634   ","251,598   "
35,New Mexico,2002,"1,379,205   ","871,552   ","823,771   ","47,781   "
36,New York,2002,"14,719,588   ","9,289,154   ","8,712,544   ","576,610   "
37,North Carolina,2002,"6,308,198   ","4,204,099   ","3,929,243   ","274,856   "
38,North Dakota,2002,"487,813   ","345,687   ","333,993   ","11,694   "
39,Ohio,2002,"8,706,945   ","5,830,502   ","5,491,474   ","339,028   "
40,Oklahoma,2002,"2,619,640   ","1,690,915   ","1,612,941   ","77,974   "
41,Oregon,2002,"2,718,916   ","1,833,663   ","1,696,726   ","136,937   "
42,Pennsylvania,2002,"9,576,042   ","6,228,440   ","5,882,632   ","345,808   "
44,Rhode Island,2002,"827,089   ","549,180   ","521,396   ","27,784   "
45,South Carolina,2002,"3,107,288   ","1,952,296   ","1,833,649   ","118,647   "
46,South Dakota,2002,"569,654   ","416,313   ","402,798   ","13,515   "
47,Tennessee,2002,"4,447,262   ","2,898,320   ","2,748,563   ","149,757   "
48,Texas,2002,"15,816,472   ","10,754,221   ","10,070,314   ","683,907   "
49,Utah,2002,"1,646,757   ","1,173,582   ","1,107,013   ","66,569   "
50,Vermont,2002,"482,822   ","342,915   ","329,384   ","13,531   "
51,Virginia,2002,"5,471,042   ","3,744,811   ","3,587,983   ","156,828   "
53,Washington,2002,"4,601,019   ","3,090,880   ","2,869,657   ","221,223   "
54,West Virginia,2002,"1,433,736   ","797,280   ","748,698   ","48,582   "
55,Wisconsin,2002,"4,168,961   ","3,016,579   ","2,856,041   ","160,538   "
56,Wyoming,2002,"381,584   ","271,329   ","260,262   ","11,067   "
01,Alabama,2003,"3,437,932   ","2,138,783   ","2,011,688   ","127,095   "
02,Alaska,2003,"460,087   ","332,790   ","307,259   ","25,531   "
04,Arizona,2003,"4,127,357   ","2,704,273   ","2,548,279   ","155,994   "
05,Arkansas,2003,"2,072,742   ","1,285,944   ","1,211,793   ","74,151   "
06,California,2003,"26,303,856   ","17,331,617   ","16,137,031   ","1,194,586   "
08,Colorado,2003,"3,441,091   ","2,481,633   ","2,329,698   ","151,935   "
09,Connecticut,2003,"2,663,992   ","1,793,913   ","1,696,219   ","97,694   "
10,Delaware,2003,"625,086   ","416,959   ","399,136   ","17,823   "
11,District of Columbia,2003,"463,663   ","308,588   ","287,520   ","21,068   "
12,Florida,2003,"13,320,744   ","8,254,634   ","7,818,466   ","436,168   "
13,Georgia,2003,"6,436,426   ","4,376,337   ","4,166,182   ","210,155   "
15,Hawaii,2003,"938,218   ","614,917   ","591,002   ","23,915   "
16,Idaho,2003,"1,007,603   ","692,055   ","653,478   ","38,577   "
17,Illinois,2003,"9,502,799   ","6,306,806   ","5,882,173   ","424,633   "
18,Indiana,2003,"4,697,058   ","3,183,680   ","3,018,239   ","165,441   "
19,Iowa,2003,"2,257,503   ","1,611,592   ","1,539,693   ","71,899   "
20,Kansas,2003,"2,042,817   ","1,444,280   ","1,363,821   ","80,459   "
21,Kentucky,2003,"3,153,571   ","1,964,485   ","1,843,490   ","120,995   "
22,Louisiana,2003,"3,332,747   ","2,029,771   ","1,903,279   ","126,492   "
23,Maine,2003,"1,029,230   ","686,675   ","651,581   ","35,094   "
24,Maryland,2003,"4,174,202   ","2,881,310   ","2,752,590   ","128,720   "
25,Massachusetts,2003,"5,013,659   ","3,409,620   ","3,213,745   ","195,875   "
26,Michigan,2003,"7,648,860   ","5,020,319   ","4,663,537   ","356,782   "
27,Minnesota,2003,"3,860,404   ","2,892,770   ","2,755,268   ","137,502   "
28,Mississippi,2003,"2,126,911   ","1,307,387   ","1,227,417   ","79,970   "
29,Missouri,2003,"4,341,123   ","2,979,055   ","2,810,056   ","168,999   "
30,Montana,2003,"710,048   ","470,818   ","448,529   ","22,289   "
31,Nebraska,2003,"1,311,811   ","970,763   ","932,716   ","38,047   "
32,Nevada,2003,"1,706,574   ","1,159,191   ","1,098,742   ","60,449   "
33,New Hampshire,2003,"990,778   ","706,625   ","675,367   ","31,258   "
34,New Jersey,2003,"6,593,594   ","4,358,194   ","4,103,903   ","254,291   "
35,New Mexico,2003,"1,401,961   ","885,851   ","833,408   ","52,443   "
36,New York,2003,"14,805,524   ","9,271,173   ","8,678,321   ","592,852   "
37,North Carolina,2003,"6,395,798   ","4,284,490   ","4,016,263   ","268,227   "
38,North Dakota,2003,"490,168   ","351,046   ","338,917   ","12,129   "
39,Ohio,2003,"8,747,643   ","5,864,605   ","5,498,838   ","365,767   "
40,Oklahoma,2003,"2,638,423   ","1,692,689   ","1,601,611   ","91,078   "
41,Oregon,2003,"2,752,028   ","1,843,685   ","1,696,382   ","147,303   "
42,Pennsylvania,2003,"9,631,742   ","6,171,869   ","5,821,547   ","350,322   "
44,Rhode Island,2003,"833,297   ","559,590   ","528,692   ","30,898   "
45,South Carolina,2003,"3,146,479   ","1,996,734   ","1,862,178   ","134,556   "
46,South Dakota,2003,"574,080   ","421,078   ","406,457   ","14,621   "
47,Tennessee,2003,"4,495,765   ","2,907,080   ","2,746,039   ","161,041   "
48,Texas,2003,"16,102,853   ","10,937,075   ","10,198,263   ","738,812   "
49,Utah,2003,"1,676,106   ","1,189,047   ","1,123,019   ","66,028   "
50,Vermont,2003,"486,988   ","345,383   ","330,368   ","15,015   "
51,Virginia,2003,"5,543,709   ","3,779,071   ","3,623,509   ","155,562   "
53,Washington,2003,"4,660,455   ","3,137,136   ","2,909,257   ","227,879   "
54,West Virginia,2003,"1,439,275   ","791,223   ","742,736   ","48,487   "
55,Wisconsin,2003,"4,208,208   ","3,044,885   ","2,874,059   ","170,826   "
56,Wyoming,2003,"385,911   ","275,100   ","263,138   ","11,962   "
01,Alabama,2004,"3,465,848   ","2,151,545   ","2,031,308   ","120,237   "
02,Alaska,2004,"471,187   ","337,545   ","312,482   ","25,063   "
04,Arizona,2004,"4,240,607   ","2,754,688   ","2,617,808   ","136,880   "
05,Arkansas,2004,"2,093,114   ","1,305,874   ","1,232,935   ","72,939   "
06,California,2004,"26,627,158   ","17,450,100   ","16,363,423   ","1,086,677   "
08,Colorado,2004,"3,476,826   ","2,526,819   ","2,385,758   ","141,061   "
09,Connecticut,2004,"2,681,166   ","1,787,054   ","1,696,908   ","90,146   "
10,Delaware,2004,"636,362   ","422,219   ","405,265   ","16,954   "
11,District of Columbia,2004,"466,729   ","313,827   ","290,249   ","23,578   "
12,Florida,2004,"13,657,796   ","8,490,612   ","8,098,429   ","392,183   "
13,Georgia,2004,"6,550,470   ","4,421,426   ","4,210,815   ","210,611   "
15,Hawaii,2004,"962,115   ","625,131   ","604,448   ","20,683   "
16,Idaho,2004,"1,029,396   ","703,522   ","669,000   ","34,522   "
17,Illinois,2004,"9,542,226   ","6,339,966   ","5,946,593   ","393,373   "
18,Indiana,2004,"4,727,882   ","3,174,507   ","3,002,515   ","171,992   "
19,Iowa,2004,"2,268,691   ","1,610,772   ","1,538,230   ","72,542   "
20,Kansas,2004,"2,054,375   ","1,462,541   ","1,382,138   ","80,403   "
21,Kentucky,2004,"3,172,666   ","1,968,689   ","1,860,121   ","108,568   "
22,Louisiana,2004,"3,349,747   ","2,036,346   ","1,920,513   ","115,833   "
23,Maine,2004,"1,038,963   ","688,058   ","656,004   ","32,054   "
24,Maryland,2004,"4,229,733   ","2,890,743   ","2,766,242   ","124,501   "
25,Massachusetts,2004,"5,024,225   ","3,388,266   ","3,214,624   ","173,642   "
26,Michigan,2004,"7,681,710   ","5,039,850   ","4,689,363   ","350,487   "
27,Minnesota,2004,"3,894,061   ","2,895,448   ","2,761,101   ","134,347   "
28,Mississippi,2004,"2,143,525   ","1,319,272   ","1,237,961   ","81,311   "
29,Missouri,2004,"4,380,051   ","2,989,602   ","2,814,710   ","174,892   "
30,Montana,2004,"720,304   ","479,189   ","457,509   ","21,680   "
31,Nebraska,2004,"1,321,194   ","978,364   ","940,514   ","37,850   "
32,Nevada,2004,"1,778,366   ","1,191,518   ","1,138,583   ","52,935   "
33,New Hampshire,2004,"1,003,420   ","712,730   ","685,603   ","27,127   "
34,New Jersey,2004,"6,629,102   ","4,365,437   ","4,150,754   ","214,683   "
35,New Mexico,2004,"1,426,036   ","897,323   ","847,210   ","50,113   "
36,New York,2004,"14,889,760   ","9,345,803   ","8,801,006   ","544,797   "
37,North Carolina,2004,"6,495,423   ","4,297,751   ","4,062,474   ","235,277   "
38,North Dakota,2004,"495,455   ","357,970   ","345,867   ","12,103   "
39,Ohio,2004,"8,779,442   ","5,849,311   ","5,484,505   ","364,806   "
40,Oklahoma,2004,"2,654,332   ","1,700,250   ","1,620,202   ","80,048   "
41,Oregon,2004,"2,778,187   ","1,842,618   ","1,707,142   ","135,476   "
42,Pennsylvania,2004,"9,682,452   ","6,232,546   ","5,898,367   ","334,179   "
44,Rhode Island,2004,"835,878   ","554,567   ","525,298   ","29,269   "
45,South Carolina,2004,"3,195,378   ","2,043,898   ","1,902,144   ","141,754   "
46,South Dakota,2004,"579,976   ","424,656   ","409,493   ","15,163   "
47,Tennessee,2004,"4,546,238   ","2,899,831   ","2,745,192   ","154,639   "
48,Texas,2004,"16,393,132   ","11,035,442   ","10,369,919   ","665,523   "
49,Utah,2004,"1,713,327   ","1,219,188   ","1,158,207   ","60,981   "
50,Vermont,2004,"490,578   ","346,039   ","333,415   ","12,624   "
51,Virginia,2004,"5,649,795   ","3,823,343   ","3,680,621   ","142,722   "
53,Washington,2004,"4,736,959   ","3,193,687   ","2,993,829   ","199,858   "
54,West Virginia,2004,"1,442,956   ","790,484   ","748,031   ","42,453   "
55,Wisconsin,2004,"4,244,664   ","3,032,697   ","2,881,712   ","150,985   "
56,Wyoming,2004,"390,620   ","277,703   ","267,022   ","10,681   "
01,Alabama,2005,"3,504,605   ","2,153,973   ","2,058,082   ","95,891   "
02,Alaska,2005,"480,459   ","344,173   ","320,329   ","23,844   "
04,Arizona,2005,"4,384,158   ","2,825,024   ","2,694,065   ","130,959   "
05,Arkansas,2005,"2,119,774   ","1,337,098   ","1,266,602   ","70,496   "
06,California,2005,"26,916,578   ","17,635,649   ","16,685,793   ","949,856   "
08,Colorado,2005,"3,530,226   ","2,555,671   ","2,426,252   ","129,419   "
09,Connecticut,2005,"2,697,826   ","1,808,542   ","1,720,558   ","87,984   "
10,Delaware,2005,"649,579   ","434,842   ","416,905   ","17,937   "
11,District of Columbia,2005,"470,857   ","319,639   ","298,978   ","20,661   "
12,Florida,2005,"14,020,244   ","8,798,562   ","8,470,043   ","328,519   "
13,Georgia,2005,"6,698,125   ","4,548,155   ","4,307,585   ","240,570   "
15,Hawaii,2005,"977,419   ","641,769   ","623,582   ","18,187   "
16,Idaho,2005,"1,057,530   ","728,606   ","699,603   ","29,003   "
17,Illinois,2005,"9,589,886   ","6,397,395   ","6,030,740   ","366,655   "
18,Indiana,2005,"4,768,326   ","3,211,867   ","3,038,019   ","173,848   "
19,Iowa,2005,"2,282,261   ","1,633,163   ","1,562,784   ","70,379   "
20,Kansas,2005,"2,069,775   ","1,464,280   ","1,390,052   ","74,228   "
21,Kentucky,2005,"3,202,938   ","1,987,235   ","1,870,669   ","116,566   "
22,Louisiana,2005,"3,301,016   ","2,085,808   ","1,936,865   ","148,943   "
23,Maine,2005,"1,047,371   ","697,994   ","663,722   ","34,272   "
24,Maryland,2005,"4,282,596   ","2,942,379   ","2,819,647   ","122,732   "
25,Massachusetts,2005,"5,039,280   ","3,367,755   ","3,206,455   ","161,300   "
26,Michigan,2005,"7,706,251   ","5,051,416   ","4,710,205   ","341,211   "
27,Minnesota,2005,"3,929,624   ","2,881,060   ","2,762,650   ","118,410   "
28,Mississippi,2005,"2,153,619   ","1,322,099   ","1,220,952   ","101,147   "
29,Missouri,2005,"4,426,874   ","3,005,435   ","2,841,822   ","163,613   "
30,Montana,2005,"731,011   ","486,794   ","466,803   ","19,991   "
31,Nebraska,2005,"1,331,861   ","977,778   ","940,654   ","37,124   "
32,Nevada,2005,"1,847,458   ","1,245,381   ","1,192,952   ","52,429   "
33,New Hampshire,2005,"1,014,574   ","723,022   ","696,689   ","26,333   "
34,New Jersey,2005,"6,663,611   ","4,407,346   ","4,211,307   ","196,039   "
35,New Mexico,2005,"1,452,808   ","913,623   ","866,018   ","47,605   "
36,New York,2005,"14,970,493   ","9,432,563   ","8,964,859   ","467,704   "
37,North Carolina,2005,"6,625,458   ","4,367,089   ","4,139,616   ","227,473   "
38,North Dakota,2005,"499,138   ","361,772   ","349,702   ","12,070   "
39,Ohio,2005,"8,813,660   ","5,875,353   ","5,527,131   ","348,222   "
40,Oklahoma,2005,"2,678,366   ","1,723,091   ","1,648,183   ","74,908   "
41,Oregon,2005,"2,818,911   ","1,846,155   ","1,732,344   ","113,811   "
42,Pennsylvania,2005,"9,743,069   ","6,282,162   ","5,968,115   ","314,047   "
44,Rhode Island,2005,"835,144   ","562,093   ","533,200   ","28,893   "
45,South Carolina,2005,"3,255,131   ","2,073,749   ","1,932,855   ","140,894   "
46,South Dakota,2005,"585,904   ","427,814   ","412,628   ","15,186   "
47,Tennessee,2005,"4,615,968   ","2,899,846   ","2,740,356   ","159,490   "
48,Texas,2005,"16,711,799   ","11,241,633   ","10,625,308   ","616,325   "
49,Utah,2005,"1,755,432   ","1,262,462   ","1,211,339   ","51,123   "
50,Vermont,2005,"493,950   ","348,299   ","336,184   ","12,115   "
51,Virginia,2005,"5,748,762   ","3,923,264   ","3,786,275   ","136,989   "
53,Washington,2005,"4,816,419   ","3,264,730   ","3,082,694   ","182,036   "
54,West Virginia,2005,"1,447,621   ","797,037   ","756,670   ","40,367   "
55,Wisconsin,2005,"4,281,663   ","3,025,383   ","2,882,007   ","143,376   "
56,Wyoming,2005,"395,471   ","282,742   ","272,627   ","10,115   "
01,Alabama,2006,"3,555,150   ","2,187,167   ","2,099,306   ","87,861   "
02,Alaska,2006,"490,337   ","348,533   ","325,498   ","23,035   "
04,Arizona,2006,"4,529,737   ","2,917,730   ","2,793,420   ","124,310   "
05,Arkansas,2006,"2,151,296   ","1,348,977   ","1,278,538   ","70,439   "
06,California,2006,"27,199,024   ","17,785,989   ","16,918,800   ","867,189   "
08,Colorado,2006,"3,599,875   ","2,619,740   ","2,509,154   ","110,586   "
09,Connecticut,2006,"2,718,712   ","1,847,677   ","1,766,274   ","81,403   "
10,Delaware,2006,"663,125   ","445,744   ","429,905   ","15,839   "
11,District of Columbia,2006,"475,231   ","322,752   ","303,975   ","18,777   "
12,Florida,2006,"14,316,372   ","9,083,615   ","8,785,081   ","298,534   "
13,Georgia,2006,"6,854,178   ","4,664,352   ","4,446,727   ","217,625   "
15,Hawaii,2006,"992,120   ","653,666   ","637,094   ","16,572   "
16,Idaho,2006,"1,087,837   ","744,286   ","718,996   ","25,290   "
17,Illinois,2006,"9,649,686   ","6,497,428   ","6,198,292   ","299,136   "
18,Indiana,2006,"4,814,806   ","3,246,997   ","3,085,021   ","161,976   "
19,Iowa,2006,"2,299,493   ","1,661,624   ","1,600,648   ","60,976   "
20,Kansas,2006,"2,083,433   ","1,469,690   ","1,404,996   ","64,694   "
21,Kentucky,2006,"3,240,745   ","2,023,550   ","1,907,888   ","115,662   "
22,Louisiana,2006,"3,210,365   ","2,011,802   ","1,928,805   ","82,997   "
23,Maine,2006,"1,055,787   ","703,976   ","670,942   ","33,034   "
24,Maryland,2006,"4,328,655   ","3,001,305   ","2,886,004   ","115,301   "
25,Massachusetts,2006,"5,063,618   ","3,393,358   ","3,233,866   ","159,492   "
26,Michigan,2006,"7,727,757   ","5,029,675   ","4,684,099   ","345,576   "
27,Minnesota,2006,"3,972,780   ","2,890,049   ","2,772,715   ","117,334   "
28,Mississippi,2006,"2,160,958   ","1,286,825   ","1,205,091   ","81,734   "
29,Missouri,2006,"4,477,756   ","3,031,367   ","2,883,534   ","147,833   "
30,Montana,2006,"743,029   ","497,506   ","480,795   ","16,711   "
31,Nebraska,2006,"1,342,809   ","977,511   ","947,634   ","29,877   "
32,Nevada,2006,"1,918,391   ","1,315,823   ","1,261,222   ","54,601   "
33,New Hampshire,2006,"1,026,601   ","728,766   ","703,239   ","25,527   "
34,New Jersey,2006,"6,697,604   ","4,460,951   ","4,252,563   ","208,388   "
35,New Mexico,2006,"1,481,197   ","924,806   ","885,867   ","38,939   "
36,New York,2006,"15,054,985   ","9,492,466   ","9,067,631   ","424,835   "
37,North Carolina,2006,"6,788,308   ","4,487,934   ","4,276,081   ","211,853   "
38,North Dakota,2006,"502,868   ","368,737   ","357,207   ","11,530   "
39,Ohio,2006,"8,851,976   ","5,953,873   ","5,630,797   ","323,076   "
40,Oklahoma,2006,"2,714,720   ","1,728,310   ","1,661,009   ","67,301   "
41,Oregon,2006,"2,870,940   ","1,877,712   ","1,776,697   ","101,015   "
42,Pennsylvania,2006,"9,816,897   ","6,328,844   ","6,031,354   ","297,490   "
44,Rhode Island,2006,"835,149   ","570,311   ","540,396   ","29,915   "
45,South Carolina,2006,"3,331,133   ","2,153,884   ","2,017,604   ","136,280   "
46,South Dakota,2006,"592,884   ","430,542   ","417,669   ","12,873   "
47,Tennessee,2006,"4,699,491   ","3,015,579   ","2,858,723   ","156,856   "
48,Texas,2006,"17,113,167   ","11,412,626   ","10,846,938   ","565,688   "
49,Utah,2006,"1,808,078   ","1,309,134   ","1,271,905   ","37,229   "
50,Vermont,2006,"497,567   ","353,704   ","340,675   ","13,029   "
51,Virginia,2006,"5,840,360   ","4,005,004   ","3,882,083   ","122,921   "
53,Washington,2006,"4,914,701   ","3,327,767   ","3,162,295   ","165,472   "
54,West Virginia,2006,"1,455,107   ","807,645   ","769,201   ","38,444   "
55,Wisconsin,2006,"4,319,539   ","3,062,968   ","2,919,593   ","143,375   "
56,Wyoming,2006,"402,734   ","289,368   ","280,465   ","8,903   "
01,Alabama,2007,"3,596,540   ","2,200,296   ","2,110,783   ","89,513   "
02,Alaska,2007,"496,259   ","350,198   ","328,314   ","21,884   "
04,Arizona,2007,"4,640,992   ","2,955,547   ","2,845,742   ","109,805   "
05,Arkansas,2007,"2,176,049   ","1,354,837   ","1,281,741   ","73,096   "
06,California,2007,"27,493,128   ","18,068,852   ","17,105,398   ","963,454   "
08,Colorado,2007,"3,667,403   ","2,663,198   ","2,565,508   ","97,690   "
09,Connecticut,2007,"2,736,710   ","1,876,029   ","1,791,089   ","84,940   "
10,Delaware,2007,"674,697   ","449,279   ","433,960   ","15,319   "
11,District of Columbia,2007,"479,274   ","330,000   ","311,724   ","18,276   "
12,Florida,2007,"14,518,790   ","9,270,476   ","8,899,131   ","371,345   "
13,Georgia,2007,"7,000,739   ","4,763,258   ","4,546,117   ","217,141   "
15,Hawaii,2007,"1,005,246   ","657,904   ","639,765   ","18,139   "
16,Idaho,2007,"1,114,320   ","755,075   ","732,588   ","22,487   "
17,Illinois,2007,"9,713,026   ","6,613,501   ","6,276,771   ","336,730   "
18,Indiana,2007,"4,858,106   ","3,214,971   ","3,065,786   ","149,185   "
19,Iowa,2007,"2,315,698   ","1,669,120   ","1,607,120   ","62,000   "
20,Kansas,2007,"2,100,229   ","1,482,598   ","1,419,333   ","63,265   "
21,Kentucky,2007,"3,268,543   ","2,032,678   ","1,923,418   ","109,260   "
22,Louisiana,2007,"3,303,666   ","2,037,535   ","1,954,309   ","83,226   "
23,Maine,2007,"1,062,720   ","703,522   ","670,451   ","33,071   "
24,Maryland,2007,"4,366,011   ","3,012,554   ","2,908,634   ","103,920   "
25,Massachusetts,2007,"5,100,266   ","3,413,152   ","3,259,639   ","153,513   "
26,Michigan,2007,"7,732,589   ","4,972,072   ","4,620,172   ","351,900   "
27,Minnesota,2007,"4,014,236   ","2,900,078   ","2,766,647   ","133,431   "
28,Mississippi,2007,"2,186,098   ","1,300,655   ","1,220,905   ","79,750   "
29,Missouri,2007,"4,521,278   ","3,052,842   ","2,897,228   ","155,614   "
30,Montana,2007,"754,467   ","507,912   ","490,695   ","17,217   "
31,Nebraska,2007,"1,353,225   ","986,799   ","957,575   ","29,224   "
32,Nevada,2007,"1,980,133   ","1,376,294   ","1,310,637   ","65,657   "
33,New Hampshire,2007,"1,035,990   ","733,906   ","707,986   ","25,920   "
34,New Jersey,2007,"6,732,084   ","4,458,637   ","4,271,086   ","187,551   "
35,New Mexico,2007,"1,505,739   ","931,402   ","898,296   ","33,106   "
36,New York,2007,"15,139,074   ","9,478,804   ","9,059,704   ","419,100   "
37,North Carolina,2007,"6,958,834   ","4,564,530   ","4,348,843   ","215,687   "
38,North Dakota,2007,"506,321   ","374,278   ","362,870   ","11,408   "
39,Ohio,2007,"8,890,923   ","6,009,611   ","5,672,719   ","336,892   "
